city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Redmond,3,2.5,2040,2040,2.0,1987,3
Seattle,4,1.0,1660,1260,1.5,1930,3
Seattle,2,2.0,1580,790,1.0,1910,3
Seattle,3,2.0,1640,820,1.0,1924,3
Sammamish,4,2.5,2400,2400,2.0,1990,3
Seattle,3,2.0,1860,1860,2.0,1908,3
Issaquah,3,2.75,1830,1690,2.0,2011,3
Seattle,4,2.0,2530,1910,1.5,1910,3
Sammamish,4,2.5,2690,2690,2.0,1985,3
Kirkland,5,2.0,2800,1400,1.0,1963,3
Issaquah,6,3.0,4050,2620,2.0,1970,3
Snoqualmie,5,2.5,2860,2860,2.0,1958,3
Issaquah,4,2.75,2330,2330,2.0,2005,3
Redmond,3,3.25,2030,2030,2.0,1980,3
Kenmore,4,2.25,2350,2350,2.0,1977,4
Seattle,4,2.0,2600,1400,1.0,1953,4
Mercer Island,3,2.75,2760,1690,1.0,1967,4
Redmond,5,2.75,3595,3595,2.0,2014,4
Redmond,4,3.25,3990,3990,2.0,2004,4
Sammamish,4,3.0,3040,2680,1.5,1923,4
Redmond,3,2.5,3540,3540,2.0,1989,4
Bellevue,3,2.5,3870,3870,2.0,1997,4
Redmond,4,3.0,5430,5430,2.0,1987,4
Seattle,4,3.25,3770,2710,2.0,1925,4
Seattle,2,1.0,630,630,1.0,1930,1
Auburn,3,1.0,1400,1400,1.0,1968,1
SeaTac,3,1.0,1350,1350,1.5,1942,1
Seattle,1,1.0,850,850,1.0,1906,1
Federal Way,3,1.0,1040,800,1.0,1958,1
Federal Way,3,1.0,910,910,1.0,1968,1
Seattle,3,1.0,1320,1320,1.5,1912,1
Federal Way,3,1.0,1180,1180,1.0,1967,1
Seattle,3,2.0,960,960,1.0,1949,1
Seattle,3,1.0,1070,1070,1.0,1949,1
Federal Way,3,1.75,1200,1200,1.0,1968,1
Shoreline,2,1.0,770,770,1.0,1948,1
Auburn,3,1.5,1460,1460,1.0,1966,1
Seattle,2,1.0,1020,1020,1.0,1939,1
Federal Way,5,2.5,2340,1670,1.0,1967,1
Kent,3,2.5,1600,1600,2.0,1992,1
Kirkland,2,1.5,1090,1090,2.0,1982,1
Milton,3,1.75,1140,1140,1.0,1983,1
Federal Way,4,2.5,2530,2530,2.0,1993,1
Black Diamond,3,1.75,1550,1050,1.0,1976,1
Seattle,3,1.0,1400,1400,1.5,1944,1
Auburn,3,2.5,2538,2538,2.0,2013,1
Renton,3,1.5,1520,1520,1.0,1959,1
Kent,3,2.25,1910,1910,2.0,2009,1
Kent,4,2.5,2200,2200,2.0,1998,2
Bellevue,3,1.0,1150,1150,1.0,1960,2
Enumclaw,4,2.5,1920,1920,2.0,1994,2
Seattle,2,1.0,1080,720,1.0,1919,2
Seattle,3,3.25,1450,1180,2.0,2013,2
Seattle,2,1.0,810,810,1.0,1941,2
Seattle,2,1.0,800,800,1.0,1953,2
Seattle,3,1.0,1060,1060,1.0,1968,2
Seattle,3,2.25,2220,1330,1.0,1993,2
Auburn,3,2.25,2120,1720,1.0,1979,2
Auburn,4,2.5,2250,2250,2.0,2014,2
Renton,3,2.25,2760,2760,1.0,1969,2
Auburn,3,2.25,2120,2120,1.0,1997,2
Maple Valley,4,2.75,3000,3000,2.0,2005,2
Issaquah,2,1.75,1210,1210,2.0,2014,2
Seattle,5,3.0,1810,1810,2.0,1998,2
Seattle,4,1.75,2100,1030,1.0,1964,2
North Bend,3,1.75,1570,1570,2.0,1982,2
Seattle,3,1.0,1650,980,1.0,1954,2
Woodinville,3,1.75,1660,1130,1.0,1976,2
Auburn,3,2.5,2860,2860,2.0,1990,2
Des Moines,4,2.5,1984,1564,1.0,1962,2
Renton,4,2.5,2620,2620,2.0,1991,2
North Bend,3,2.25,2090,2090,1.0,1961,2
Woodinville,3,1.75,1180,1180,1.0,1967,2
Seattle,3,1.75,1880,940,1.0,1945,2
Seattle,4,1.75,1360,1360,1.5,1928,2
Maple Valley,4,2.5,2560,2560,2.0,2006,2
Shoreline,4,2.25,2060,1220,1.0,1963,2
Seattle,3,2.0,1320,1320,1.5,1920,2
Newcastle,4,1.75,1920,1920,2.0,1970,2
Seattle,3,2.0,1550,830,1.0,1942,2
Seattle,4,2.75,2230,1320,1.0,1998,2
Renton,4,2.5,2150,2150,2.0,2010,2
Seattle,2,2.0,1270,1270,3.0,2000,2
Bothell,4,2.25,2570,2570,2.0,1980,2
North Bend,4,2.5,2680,2680,2.0,2013,2
Normandy Park,4,3.5,3440,3440,2.0,2002,2
Shoreline,4,2.5,1910,1910,1.0,1921,2
Newcastle,3,1.5,1830,1830,1.0,1962,2
Duvall,4,2.75,2530,2530,2.0,1997,2
Bellevue,3,1.0,1340,1340,1.0,1955,2
Seattle,2,1.0,1060,860,1.0,1924,2
Seattle,4,2.25,1900,1370,1.0,1977,2
Issaquah,3,2.5,1810,1810,2.0,1992,3
Seattle,2,1.5,1920,960,1.0,1912,3
Bellevue,5,2.5,2820,1550,1.0,1968,3
Bellevue,2,2.5,1785,1595,2.0,1975,3
Redmond,3,1.75,1070,1070,1.0,1966,3
Issaquah,3,3.5,2490,1720,2.0,2005,3
Redmond,3,2.25,1820,1820,2.0,1984,3
Kirkland,4,2.25,1950,1330,1.0,1968,3
Burien,4,1.75,2790,1450,1.0,1956,3
Sammamish,4,2.5,2130,1490,1.0,1980,3
Issaquah,3,2.25,1940,1520,1.0,1987,3
Renton,4,2.5,2630,2630,2.0,1999,3
Redmond,2,2.0,1570,1570,1.0,2006,3
Redmond,3,2.0,2560,1330,1.0,1987,3
Woodinville,3,2.25,1900,1440,1.5,1969,3
Kirkland,4,2.5,2250,2250,2.0,1991,3
Mercer Island,3,1.75,2050,2050,1.0,1973,3
Issaquah,2,2.5,2290,2290,2.0,2005,3
Sammamish,4,2.5,2850,2850,2.0,1987,3
Carnation,4,3.0,3720,1880,1.0,2003,3
Issaquah,3,2.75,2830,2830,2.0,2012,3
Seattle,4,2.5,2610,2610,2.0,2006,3
Woodinville,4,2.5,3220,3220,2.0,1991,3
Redmond,5,2.75,2510,1600,1.0,1975,3
Bellevue,4,3.0,3580,2370,2.5,1991,4
Bellevue,4,2.25,2410,2410,2.0,1965,4
Sammamish,4,2.75,3090,3090,2.0,2010,4
Sammamish,4,4.0,3010,3010,2.0,2004,4
Seattle,2,2.5,2560,1690,2.0,1901,4
Renton,4,3.5,5270,3440,2.0,2004,4
Bellevue,3,2.5,3420,1750,1.0,1987,4
Redmond,2,2.75,2700,2700,1.0,2007,4
Issaquah,4,3.5,3370,2750,2.0,2007,4
Federal Way,3,2.75,3176,2726,2.0,1985,4
Sammamish,3,2.5,3180,3180,2.0,1978,4
Seattle,3,2.5,3480,1750,1.0,1941,4
Seattle,5,2.75,3500,2950,2.0,1927,4
Kirkland,4,2.5,3130,3130,2.0,2013,4
Issaquah,4,3.75,4740,4740,2.0,1991,4
Mercer Island,2,2.0,2360,2360,1.5,1997,4
Bellevue,4,2.5,3180,2390,1.0,1978,4
Normandy Park,3,2.25,2790,2790,1.0,2006,4
Bellevue,3,2.5,3830,3830,2.0,1991,4
Seattle,4,3.5,3960,2850,2.0,2006,4
Seattle,4,3.5,3150,3150,2.0,2014,4
Medina,4,5.25,6500,5180,2.0,2001,4
Renton,3,1.0,960,960,1.0,1970,1
Skykomish,3,0.75,490,490,1.5,1959,1
Auburn,4,1.0,1600,1600,1.0,1966,1
Burien,2,1.0,840,840,1.0,1952,1
Kent,3,2.5,1610,1610,2.0,1994,1
Federal Way,3,1.75,1770,1770,1.0,1959,1
Enumclaw,4,1.5,1860,1860,1.5,1920,1
Kent,3,1.0,1200,1200,1.0,1967,1
Seattle,3,1.0,990,990,1.0,1943,1
Federal Way,4,2.25,2010,1170,1.0,1979,1
Federal Way,3,1.5,1940,1140,1.0,1969,1
Covington,2,1.75,1460,1460,1.0,1987,1
Des Moines,3,1.0,990,990,1.0,1960,1
Renton,4,1.75,1120,1120,1.0,1966,1
Des Moines,4,2.5,1660,1660,1.0,1978,1
Tukwila,4,2.0,2030,2030,2.0,1944,1
Seattle,3,1.0,1200,1200,1.0,1954,1
Seattle,4,1.75,1880,1130,1.0,1960,1
Renton,3,1.5,1500,1500,1.0,1957,1
Renton,5,1.5,1730,1010,1.0,1962,1
Federal Way,3,1.5,1950,1950,1.0,1959,1
Shoreline,2,1.0,800,800,1.0,1953,1
Seattle,3,2.5,1460,1460,2.0,2000,1
Seattle,4,1.75,1820,1190,1.0,1926,2
Federal Way,3,1.5,1800,1800,1.0,1966,2
Kirkland,3,1.0,1450,1010,1.0,1969,2
Seattle,3,1.75,1510,1510,1.0,1954,2
Des Moines,3,2.25,1980,1300,1.0,1963,2
Des Moines,3,1.5,1460,1460,1.0,1952,2
Seattle,3,1.0,1370,1370,2.0,1930,2
Renton,3,1.0,1600,1600,1.0,1958,2
Snoqualmie,3,2.5,1590,1590,2.0,2000,2
Seattle,3,1.5,1550,1080,1.0,1978,2
Seattle,3,2.25,1390,1390,3.0,2007,2
Kirkland,3,2.5,1530,1530,2.0,1986,2
Vashon,4,2.75,1970,1970,1.0,1961,2
Seattle,2,1.0,930,930,1.0,1940,2
Seattle,5,2.75,1970,1320,1.0,1986,2
Woodinville,3,2.0,1760,1760,1.0,1967,2
Kent,5,3.25,3320,2480,2.0,1999,2
Seattle,3,1.75,1660,830,1.0,1980,2
Federal Way,4,3.5,3360,2450,2.0,1990,2
Shoreline,4,1.5,1840,1840,1.5,1950,2
Renton,3,2.5,3010,3010,2.0,2009,2
Seattle,2,1.0,1320,1020,1.0,1939,2
Renton,4,2.5,2550,2550,2.0,2009,2
Seattle,3,1.5,1270,1270,3.0,2007,2
Bothell,3,2.25,1920,1920,2.0,1989,2
Kirkland,4,2.5,1980,1980,2.0,1974,2
Woodinville,4,2.5,2100,1240,1.0,1976,2
Kenmore,4,2.25,2380,1530,2.0,1979,2
Newcastle,5,2.75,2550,1390,1.0,1967,2
Federal Way,4,2.5,3560,3560,2.0,1988,2
Seattle,4,2.5,2540,2540,2.0,2005,2
Enumclaw,3,2.0,2660,2660,1.0,1964,2
Redmond,2,1.75,1350,1350,1.0,2008,2
Renton,3,1.75,2140,1490,1.0,1950,3
Renton,4,2.5,3670,3670,2.0,2005,3
Bothell,4,2.75,2910,1640,1.0,1985,3
Bellevue,4,1.75,1710,1710,1.0,1955,3
Issaquah,3,2.5,1790,1790,2.0,2010,3
Bellevue,3,2.5,1460,1460,2.0,1983,3
Renton,3,2.5,2760,2760,2.0,2002,3
Redmond,4,1.75,2150,1110,1.0,1966,3
Seattle,3,2.0,1970,1270,2.0,1929,3
Seattle,4,1.0,1440,1440,1.5,1924,3
Sammamish,3,2.5,1960,1960,2.0,2002,3
Issaquah,4,2.5,2570,2570,2.0,1990,3
Woodinville,3,2.5,2500,2500,2.0,1990,3
Seattle,3,3.25,2220,1770,1.5,1929,3
Renton,6,3.75,4000,3080,2.0,2004,3
Seattle,3,1.75,1850,1020,1.0,1909,3
Renton,3,2.5,2600,2600,2.0,1998,3
Lake Forest Park,3,2.5,2650,1680,1.0,1975,3
Sammamish,4,2.5,2720,2720,2.0,1989,3
Seattle,4,3.25,3730,2760,2.0,2013,3
Seattle,7,2.5,2580,1880,1.0,1901,3
Seattle,3,3.25,1830,1830,3.0,2014,3
Redmond,3,2.5,2630,2630,2.0,2001,3
Mercer Island,3,2.0,2250,1500,1.0,1964,3
Seattle,4,1.0,1600,1600,1.5,1946,3
Kirkland,3,1.75,1710,1710,1.0,1986,3
Redmond,4,2.5,3080,3080,2.0,1997,3
Renton,4,2.75,3510,3510,2.0,2014,3
Sammamish,4,2.5,2510,2510,2.0,2002,3
Seattle,4,2.75,2100,1780,1.5,1928,3
Seattle,3,2.0,1780,980,1.0,1925,3
Snoqualmie,4,2.75,3710,3710,2.0,1999,3
North Bend,4,3.5,3650,2550,2.0,1996,3
Redmond,4,2.5,3350,3350,2.0,1985,4
Auburn,4,3.25,4280,3050,2.0,2002,4
Redmond,2,2.25,2290,2290,1.0,2007,4
Seattle,3,1.75,2320,2320,2.0,1935,4
Redmond,4,2.5,3360,3360,2.0,1997,4
Redmond,2,2.5,2150,2150,1.0,2010,4
Redmond,3,2.75,2820,2820,2.0,2008,4
Seattle,4,2.75,2700,2100,2.0,1910,4
Shoreline,4,2.75,2910,2210,1.0,1957,4
Sammamish,4,2.5,3020,3020,2.0,2004,4
Seattle,4,1.75,2100,1340,1.0,1975,4
Seattle,4,2.25,3300,3300,3.0,2014,4
Seattle,4,1.75,2000,1000,1.0,1958,4
Seattle,3,2.0,2783,2783,2.0,1910,4
Sammamish,5,4.5,4030,4030,2.0,2000,4
Newcastle,4,3.5,4440,4440,2.0,2003,4
Kirkland,4,3.75,4260,4260,2.0,2008,4
Bellevue,5,3.5,5430,4010,2.0,2007,4
Bellevue,4,3.5,3550,2260,1.0,1999,4
Seattle,6,4.5,4230,2360,2.0,1916,4
Mercer Island,5,5.25,4830,3930,2.0,1952,4
Mercer Island,5,4.75,5780,4260,2.0,2006,4
Seattle,4,2.0,2090,1070,1.0,1974,1
Covington,3,2.5,1490,1490,2.0,1990,1
Maple Valley,3,1.75,1580,1180,1.0,1993,1
Maple Valley,3,2.5,1530,1530,2.0,1991,1
Federal Way,3,2.25,1720,1720,2.0,1983,1
Federal Way,4,2.5,2800,2800,2.0,1993,2
Seattle,4,1.0,1170,1170,1.5,1959,2
Kent,3,2.5,2110,2110,2.0,1989,2
Maple Valley,4,2.5,2380,2380,2.0,2005,2
Burien,3,1.0,1470,1470,1.0,1953,2
Renton,4,2.5,2700,2700,2.0,1998,2
Kirkland,4,2.0,1560,1560,1.0,1968,2
Kirkland,4,1.75,1520,1520,1.0,1967,2
Sammamish,2,1.0,1240,1240,1.0,1962,3
Vashon,2,2.0,2930,1680,1.0,1980,3
Sammamish,4,2.75,2600,1580,1.0,1976,3
Seattle,4,2.0,1840,920,1.0,1942,3
Bellevue,3,2.0,2320,1510,1.0,1956,3
Seattle,3,2.5,2700,1280,2.0,2003,3
Snoqualmie,4,2.5,3340,3340,2.0,1999,4
Seattle,2,1.75,1950,1010,1.0,1919,4
Issaquah,3,2.5,2820,2820,2.0,2004,4
Seattle,6,2.75,2980,2480,1.5,1916,4
Seattle,3,2.75,2220,1700,2.0,1914,4
Carnation,4,3.5,3840,3840,2.0,1998,4
Bellevue,5,2.0,2310,2310,1.5,1966,4
Sammamish,4,2.5,3360,3360,2.0,1994,4
Seattle,6,2.5,2640,1760,2.0,1922,4
Fall City,5,4.25,6070,6070,2.0,1999,4
